epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1641.37,0.75959,1.41859,0.6788,1.0535,0.86842,0.87608,0.91058,0.79821,0.86826,0.8773,0.90913,0.78799,0.81458,1.46178,0.75416,1.11474,0.000608468,0.000608468,0.000608468
31,1694.44,0.75704,1.41354,0.68456,1.05585,0.88541,0.87632,0.90706,0.7887,0.88428,0.87386,0.90481,0.78581,0.83367,1.47876,0.77022,1.14321,0.000580174,0.000580174,0.000580174
32,1747.57,0.74382,1.4057,0.66363,1.04902,0.90708,0.87525,0.91058,0.79576,0.91106,0.87939,0.91323,0.78905,0.81046,1.46896,0.71854,1.12337,0.00055188,0.00055188,0.00055188
33,1800.62,0.74317,1.39048,0.66837,1.04423,0.8955,0.86256,0.8996,0.78157,0.89249,0.85927,0.89741,0.77633,0.81413,1.47272,0.77268,1.126,0.000523586,0.000523586,0.000523586
34,1853.81,0.75545,1.42541,0.67134,1.05222,0.89892,0.86167,0.90883,0.79463,0.8986,0.86286,0.90862,0.77904,0.81282,1.47061,0.73764,1.11346,0.000495291,0.000495291,0.000495291
35,1906.53,0.74279,1.3763,0.6547,1.04418,0.89597,0.87725,0.90722,0.79785,0.89893,0.87876,0.90803,0.78646,0.81203,1.47001,0.73058,1.11801,0.000466997,0.000466997,0.000466997
36,1959.55,0.72762,1.37794,0.65287,1.03636,0.89131,0.88027,0.90998,0.79887,0.88962,0.88838,0.91262,0.79206,0.79861,1.45271,0.71824,1.11223,0.000438703,0.000438703,0.000438703
37,2013.2,0.73786,1.37763,0.64656,1.0406,0.89999,0.89073,0.91502,0.8059,0.89577,0.88632,0.91227,0.79384,0.79965,1.44771,0.70626,1.11269,0.000410409,0.000410409,0.000410409
38,2066.25,0.70586,1.34909,0.61867,1.02957,0.89855,0.87325,0.90441,0.79481,0.89549,0.86876,0.90217,0.78443,0.80055,1.45388,0.71857,1.11801,0.000382115,0.000382115,0.000382115
39,2119.16,0.71752,1.34891,0.61796,1.02981,0.90389,0.88438,0.91403,0.80641,0.90135,0.87963,0.91334,0.79412,0.80048,1.46684,0.698,1.1201,0.00035382,0.00035382,0.00035382
40,2172.31,0.72612,1.34441,0.63931,1.04968,0.90257,0.86565,0.91239,0.8043,0.9003,0.86283,0.91137,0.79137,0.7981,1.46506,0.70812,1.11648,0.000325526,0.000325526,0.000325526
41,2224.13,0.68711,1.31533,0.58434,1.02113,0.88489,0.89275,0.9129,0.8061,0.88961,0.89737,0.91716,0.79369,0.79588,1.45756,0.70446,1.11296,0.000297232,0.000297232,0.000297232
42,2276.18,0.6773,1.28988,0.55645,1.01797,0.88823,0.87302,0.91416,0.81546,0.89497,0.87823,0.91785,0.79795,0.79066,1.45211,0.70237,1.11645,0.000268938,0.000268938,0.000268938
43,2328.01,0.66201,1.2649,0.54478,1.00138,0.88758,0.88718,0.91389,0.81341,0.8896,0.88964,0.91452,0.80065,0.79036,1.46013,0.69255,1.10709,0.000240644,0.000240644,0.000240644
44,2379.55,0.66262,1.25306,0.54126,1.00342,0.90636,0.87606,0.91444,0.81832,0.90769,0.87744,0.91509,0.80398,0.78599,1.43718,0.69917,1.10702,0.000212349,0.000212349,0.000212349
45,2431.54,0.65259,1.26348,0.5286,0.99291,0.90221,0.89497,0.92057,0.81387,0.90858,0.89788,0.92152,0.80115,0.79106,1.44745,0.67022,1.11311,0.000184055,0.000184055,0.000184055
46,2483.18,0.65126,1.25693,0.52084,0.99729,0.90915,0.87937,0.91835,0.81375,0.91533,0.88532,0.92274,0.8034,0.79288,1.44545,0.66634,1.11944,0.000155761,0.000155761,0.000155761
47,2534.97,0.62949,1.21315,0.50181,0.98359,0.89751,0.89557,0.91571,0.81544,0.90173,0.90032,0.91734,0.80351,0.78209,1.42958,0.66471,1.10779,0.000127467,0.000127467,0.000127467
48,2587.5,0.63355,1.21989,0.49804,0.98394,0.89543,0.89615,0.91641,0.81912,0.89977,0.90183,0.92009,0.80563,0.78405,1.43053,0.67359,1.10966,9.91726e-05,9.91726e-05,9.91726e-05
49,2639.69,0.61857,1.19738,0.48325,0.97548,0.89986,0.88541,0.91558,0.81903,0.90524,0.89205,0.91836,0.80299,0.78332,1.44039,0.66935,1.11113,7.08784e-05,7.08784e-05,7.08784e-05
50,2692.36,0.61485,1.18687,0.48356,0.97308,0.90013,0.89236,0.91928,0.8236,0.90598,0.89389,0.92004,0.80891,0.77435,1.44114,0.66299,1.10701,4.25842e-05,4.25842e-05,4.25842e-05
